ObjectID,GlobalID,Always walk South to North or East to West,Transect Number,Transect Direction,Transect Length,ParentGlobalID,CreationDate,Creator,EditDate,Editor
2,957ebb91-2e35-4bc5-bcf9-53da2d5a01d1,,2,NS,60,3bb0fa67-0fe8-4aff-8de6-ed9fc45a8fdb,5/1/2024 12:42:16 AM,MichelleDPL,5/1/2024 12:42:16 AM,MichelleDPL
3,60f005f0-7553-436b-8f20-d671932a1f02,,,,,150db5ac-1025-43d1-8a67-321bb9895e0f,5/1/2024 12:42:17 AM,MichelleDPL,5/1/2024 12:42:17 AM,MichelleDPL
4,cbcb693d-1b82-4f1a-a699-5a1b7caf9e64,,1,EW,60,3311f5f3-8785-4f80-a42a-049d98b9359d,5/1/2024 12:43:29 AM,MichelleDPL,5/1/2024 12:43:29 AM,MichelleDPL
5,bf03eb41-8957-42de-bc97-94546b9565a6,,1,EW,60,3311f5f3-8785-4f80-a42a-049d98b9359d,5/1/2024 12:43:29 AM,MichelleDPL,5/1/2024 12:43:29 AM,MichelleDPL
6,23714ba4-92d0-47d4-b163-826b63758426,,1,EW,,3311f5f3-8785-4f80-a42a-049d98b9359d,5/1/2024 12:43:29 AM,MichelleDPL,5/1/2024 12:43:29 AM,MichelleDPL
7,5af035b2-a8b6-41ad-94e8-2000cf15c1c3,,1,EW,,3311f5f3-8785-4f80-a42a-049d98b9359d,5/1/2024 12:43:29 AM,MichelleDPL,5/1/2024 12:43:29 AM,MichelleDPL
8,0f7ed122-92b1-4fba-81f0-21b6b09dafec,,21,EW,60,7d76847e-c5b4-423b-9d59-7c4afe45aaac,5/1/2024 12:43:30 AM,MichelleDPL,5/1/2024 12:43:30 AM,MichelleDPL
9,d4d0410f-34ef-4338-93c8-80d4b249d80e,,21,EW,60,7d76847e-c5b4-423b-9d59-7c4afe45aaac,5/1/2024 12:43:30 AM,MichelleDPL,5/1/2024 12:43:30 AM,MichelleDPL
10,e0530891-27b6-459c-a682-d318588a0a8a,,2,EW,60,dcd85924-1a1a-4dbd-918d-407aba8fceb8,5/1/2024 12:43:42 AM,MichelleDPL,5/1/2024 12:43:42 AM,MichelleDPL
11,eb06e28b-e0aa-49d7-8b16-dff5883bc517,,21,NS,60,0e68e7c3-18d2-4ae0-93d5-f29f170c9c2f,5/1/2024 12:43:42 AM,MichelleDPL,5/1/2024 12:43:42 AM,MichelleDPL
12,ee1ed4e0-46bf-4c9b-aad0-243863a5eb66,,1,NS,40,ed9495bd-3013-492f-8b98-9c090da1c2d3,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL
13,f7e2ec6e-3487-4943-903c-d2caacc08a4e,,4,EW,50,ed9495bd-3013-492f-8b98-9c090da1c2d3,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL
14,72d8a244-bd42-4b83-b946-7f9e19d9f3c7,,1,EW,,3eb2a1d0-d40c-4dbf-a6e1-5a3692ceab38,5/2/2024 2:01:00 AM,MichelleDPL,5/2/2024 2:01:00 AM,MichelleDPL
15,862e99e6-6056-46ce-aeb7-9f166db91a6d,,3,NS,50,60ac07f3-beaa-43df-81b4-50c191fed87d,5/2/2024 2:01:03 AM,MichelleDPL,5/2/2024 2:01:03 AM,MichelleDPL
16,7e045b7d-b67c-442b-8cd9-e7811c60e29d,,3,EW,60,faf31afd-ec38-4ac1-8232-04e8b6363b4e,5/2/2024 2:01:04 AM,MichelleDPL,5/2/2024 2:01:04 AM,MichelleDPL
17,d4afe552-8906-41bb-aa10-f61871b99a0b,,2,EW,23,de13236d-872c-4d5a-b0f5-13d384f29bc8,5/2/2024 2:01:05 AM,MichelleDPL,5/2/2024 2:01:05 AM,MichelleDPL
18,d180306f-a8de-4528-b3e6-c040fcbbeb93,,2,NS,,9a7468ad-6b49-4267-9d3d-2e8dcaa9e392,5/2/2024 2:02:18 AM,MichelleDPL,5/2/2024 2:02:18 AM,MichelleDPL
19,65a4f5ff-ca1e-43de-b36a-ef7d9dc87f07,,2,"NS,EW",66,9a7468ad-6b49-4267-9d3d-2e8dcaa9e392,5/2/2024 2:02:18 AM,MichelleDPL,5/2/2024 2:02:18 AM,MichelleDPL
20,5abc3618-44f3-4de1-9b18-2ef56b2b1fb2,,1,EW,,da245998-a8e5-4eaf-bcd0-fae584bdca1f,5/2/2024 2:02:19 AM,MichelleDPL,5/2/2024 2:02:19 AM,MichelleDPL
21,9144678e-5be4-4682-b563-5f43fea63d24,,1,NS,50,c5bc3a00-14d7-43c3-aba5-59810abb4ed3,5/3/2024 3:35:46 AM,MichelleDPL,5/3/2024 3:35:46 AM,MichelleDPL
22,8b47e296-84fe-4074-92ea-860bad10d0a4,,1,EW,53,ea668487-c3a4-4ea7-b37f-b587918eac31,5/3/2024 3:35:48 AM,MichelleDPL,5/3/2024 3:35:48 AM,MichelleDPL
23,37ed4000-7f0a-4d67-bec3-935d8df885a1,,,,,ea668487-c3a4-4ea7-b37f-b587918eac31,5/3/2024 3:35:48 AM,MichelleDPL,5/3/2024 3:35:48 AM,MichelleDPL
24,a2f6504f-6c66-4966-8a2f-1f349b06ea1b,,1,NS,100,b8cdf2cd-ad34-4238-a65a-1ab3e5ac6a1c,5/3/2024 3:35:49 AM,MichelleDPL,5/3/2024 3:35:49 AM,MichelleDPL
25,e36b0ddd-957f-488d-bcf0-4676eeb0dd31,,7,EW,,d9616447-2b85-4c4f-9bc3-01cd38770940,5/3/2024 3:35:50 AM,MichelleDPL,5/3/2024 3:35:50 AM,MichelleDPL
26,ee15a125-3474-4918-a910-28377ca093b2,,5,EW,23,d9616447-2b85-4c4f-9bc3-01cd38770940,5/3/2024 3:35:50 AM,MichelleDPL,5/3/2024 3:35:50 AM,MichelleDPL
27,9d468ee3-100b-4fc8-ac2a-704e2cbcacb8,,2,NS,50,bbf3ee91-b0fc-4909-9577-4c7bdc2bba2a,5/3/2024 3:36:15 AM,MichelleDPL,5/3/2024 3:36:15 AM,MichelleDPL
28,0c8d20b4-2f52-49c5-968b-de22ea2c19f1,,1,EW,43,bbf3ee91-b0fc-4909-9577-4c7bdc2bba2a,5/3/2024 3:36:15 AM,MichelleDPL,5/3/2024 3:36:15 AM,MichelleDPL
29,fa6dc9e0-fbb3-49ba-ae6a-b8ecbf6c04ac,,2,EW,53,bbf3ee91-b0fc-4909-9577-4c7bdc2bba2a,5/3/2024 3:36:15 AM,MichelleDPL,5/3/2024 3:36:15 AM,MichelleDPL
30,0c1494ed-a0bb-4e18-bb95-ef9428d5931f,,3,NS,100,51328481-12ef-42e8-9a94-cb601a70f8b4,5/3/2024 3:36:17 AM,MichelleDPL,5/3/2024 3:36:17 AM,MichelleDPL
31,862ee0b0-9f42-40d3-94cb-6de2bf19cfe6,,9,EW,39,23ed48a7-8727-4565-8518-8c1764e64605,5/3/2024 3:36:18 AM,MichelleDPL,5/3/2024 3:36:18 AM,MichelleDPL
32,ecd0affc-357b-4480-82bf-772be4ecc402,,3,NS,40,5aa1bb20-aedb-4e28-82b8-d4d9e12b6a45,5/3/2024 3:36:34 AM,MichelleDPL,5/3/2024 3:36:34 AM,MichelleDPL
33,d8a3a5e9-f871-4c99-94b2-28e99c2a84a0,,3,EW,,420285b4-94dc-4e33-89ff-19c58ab49755,5/3/2024 3:36:35 AM,MichelleDPL,5/3/2024 3:36:35 AM,MichelleDPL
34,d2283f19-eedc-4bb7-8387-92b2cda69b3a,,2,NS,100,9265ab9b-8e93-4694-b9d8-66aea0aed9ce,5/3/2024 3:36:35 AM,MichelleDPL,5/3/2024 3:36:35 AM,MichelleDPL
35,f9411cc1-319d-4c2b-bf80-d457dd3f27b9,,8,EW,100,1236b8de-2157-46d1-8081-96034cc2e9ce,5/3/2024 3:36:36 AM,MichelleDPL,5/3/2024 3:36:36 AM,MichelleDPL
36,bb921ad1-1a03-49a9-9328-3964d6e2c3aa,,1,EW,33,f924aff3-5735-43f0-b900-c883f66296c8,5/3/2024 3:36:37 AM,MichelleDPL,5/3/2024 3:36:37 AM,MichelleDPL
